VOL,HP,MPG,SP,WT
89,49,65.4,96,17.5
92,55,56,97,20
92,55,55.9,97,20
92,70,49,105,20
92,53,46.5,96,20
89,70,46.2,105,20
92,55,45.4,97,20
50,62,59.2,98,22.5
50,62,53.3,98,22.5
94,80,43.4,107,22.5
89,73,41.1,103,22.5
50,92,40.9,113,22.5
99,92,40.9,113,22.5
89,73,40.4,103,22.5
89,66,39.6,100,22.5
89,73,39.3,103,22.5
91,78,38.9,106,22.5
50,92,38.8,113,22.5
91,78,38.2,106,22.5
103,90,42.2,109,25
99,92,40.9,110,25
107,74,40.7,101,25
101,95,40,111,25
96,81,39.3,105,25
89,95,38.8,111,25
50,92,38.4,110,25
117,92,38.4,110,25
99,92,38.4,110,25
102,90,29.5,109,25
104,52,46.9,90,27.5
107,103,36.3,112,27.5
114,84,36.1,103,27.5
101,84,36.1,103,27.5
97,102,35.4,111,27.5
113,102,35.3,111,27.5
101,81,35.1,102,27.5
98,90,35.1,106,27.5
88,90,35,106,27.5
86,102,33.2,109,30
86,102,32.9,109,30
92,130,32.3,120,30
113,95,32.2,106,30
106,95,32.2,106,30
92,102,32.2,109,30
88,95,32.2,106,30
102,93,31.5,105,30
99,100,31.5,108,30
111,100,31.4,108,30
103,98,31.4,107,30
86,130,31.2,120,30
101,115,33.7,109,35
101,115,32.6,109,35
101,115,31.3,109,35
124,115,31.3,109,35
113,180,30.4,133,35
113,160,28.9,125,35
124,130,28,115,35
92,96,28,102,35
101,115,28,109,35
94,100,28,104,35
115,100,28,105,35
111,145,27.7,120,35
116,120,25.6,107,40
131,140,25.3,114,40
123,140,23.9,114,40
121,150,23.6,117,40
50,165,23.6,122,40
114,165,23.6,122,40
127,165,23.6,122,40
123,165,23.6,122,40
112,245,23.5,148,40
50,280,23.4,160,40
135,162,23.4,121,40
132,162,23.1,121,40
160,140,22.9,110,45
129,140,22.9,110,45
129,175,19.5,121,45
50,322,18.1,165,45
115,238,17.2,140,45
50,263,17,147,45
119,295,16.7,157,45
107,236,13.2,130,55
