Year_Type,Year,Employee_Identifier,Salaries,Overtime,Other_Salaries,Total_Salary,Retirement,Health/Dental,Other_Benefits,Total_Benefits,Total_Compensation
Fiscal,2015,42853,92288.22,267.45,267.45,92823.12,20700.2,12500.56,7605.75,40806.51,133629.63
Calendar,2015,28248,1466.38,348.23,0,1814.61,0,442.03,141.59,583.62,2398.23
Fiscal,2014,30651,76536.95,13583.72,10855.94,100976.61,18632.19,12464.61,8011.41,39108.21,140084.82
Fiscal,2014,19473,45659.88,0,1625.37,47285.25,10081.2,0,3936.63,14017.83,61303.08
Fiscal,2013,7176,41832,0,0,41832,7617.6,5908.52,3254.5,16780.62,58612.62
Calendar,2013,50433,74132,0,1443.42,75575.42,14851.23,12888.34,6233.85,33973.42,109548.84
Fiscal,2014,35654,101535.1,0,0,101535.1,21647.32,12512.55,7915.08,42074.95,143610.05
Calendar,2014,38094,109163.02,0,4366.49,113529.51,24248.92,13054.94,9076.15,46380.01,159909.52
Fiscal,2015,27234,66232.32,6806.8,2069.97,75109.09,20281.69,13259.64,5877.41,39418.74,114527.83
Fiscal,2014,46313,53979.94,7202.89,25,61207.83,11513.86,12512.55,5028.71,29055.12,90262.95
Calendar,2013,3986,10846.16,0,0,10846.16,2258.18,956.9,475.68,3690.76,14536.92
Fiscal,2016,27574,118320.32,18646.74,6768.31,143735.37,21029.06,13031.4,2383.34,36443.8,180179.17
Calendar,2013,15465,30382.86,3014.27,2090.76,35487.89,1940.77,8767.66,2747.47,13455.9,48943.79
Calendar,2013,52841,13373.03,78.68,0,13451.71,0,6112.24,1041.44,7153.68,20605.39
Fiscal,2013,22624,35878.5,0,0,35878.5,6354.08,5169.96,2775.71,14299.75,50178.25
Calendar,2013,9666,4754.93,0,32.4,4787.33,1109.23,1263.9,542.84,2915.97,7703.3
Fiscal,2015,29527,1188.41,0,0,1188.41,0,446.02,92.01,538.03,1726.44
Fiscal,2014,52034,130443.01,379.58,0,130822.59,27158.24,12512.55,8893.98,48564.77,179387.36
Fiscal,2016,27340,113006.69,0,6817.68,119824.37,20488.15,13064.5,9836.65,43389.3,163213.67
Calendar,2013,13236,38434.5,0,0,38434.5,7981.72,6459.12,3107.33,17548.17,55982.67
Fiscal,2016,2376,38721.11,0,0,38721.11,8514.78,13068.8,3089.73,24673.31,63394.42
Fiscal,2014,1857,94129.2,0,0,94129.2,16084.76,12512.55,1570.01,30167.32,124296.52
Calendar,2013,9310,61647.4,0,0,61647.4,12405.29,9871.09,4996.53,27272.91,88920.31
Fiscal,2015,33909,250,0,0,250,0,0,19.76,19.76,269.76
Calendar,2013,14561,75033.02,6930.14,1580,83543.16,15055.74,12918.24,6634.02,34608,118151.16
Calendar,2013,15015,7264.33,0,0,7264.33,0,3313.29,562.41,3875.7,11140.03
Calendar,2013,32399,60102.09,0,0,60102.09,11809.92,12918.24,4944.76,29672.92,89775.01
Calendar,2015,32064,56531,0,6014.98,62545.98,12576.47,12424.5,5119,30119.97,92665.95
Calendar,2014,10507,59555.21,31849.44,2879.13,94283.78,13169.88,13054.93,7195.52,33420.33,127704.11
Fiscal,2016,34969,144615.63,41621.59,32850.22,219087.44,25670.73,13087.51,3689.18,42447.42,261534.86
Calendar,2014,15421,992.5,0,0,992.5,32.25,0,617.39,649.64,1642.14
Calendar,2013,42455,54559,15296.74,4269.38,74125.12,11097.38,12918.23,5938.56,29954.17,104079.29
Fiscal,2016,29184,32130,0,0,32130,5979.39,5935.81,2573.76,14488.96,46618.96
Fiscal,2016,2911,74969.34,0,0,74969.34,13951.75,9128.21,6158.39,29238.35,104207.69
Calendar,2015,50949,61428,5340.88,9449.2,76218.08,13928.79,12424.5,5996.54,32349.83,108567.91
Calendar,2015,8315,20115.07,0,0,20115.07,3743.43,2180.25,1621.69,7545.37,27660.44
Fiscal,2013,42832,65858.01,21444.54,4315.15,91617.7,12106.37,12801.79,7425.82,32333.98,123951.68
Fiscal,2013,29197,102612.41,0,0,102612.41,18172.66,12789.48,8359.93,39322.07,141934.48
Calendar,2015,50957,81942.04,14490.72,6385.16,102817.92,18250.18,12424.62,8156.01,38830.81,141648.73
Fiscal,2013,38726,109550.59,10167.54,1732.48,121450.61,19546.55,12598.32,1959.66,34104.53,155555.14
Fiscal,2016,18661,136181.11,0,13618.11,149799.22,27158.63,8679.29,6369.39,42207.31,192006.53
Fiscal,2016,50212,0,0,272.01,272.01,0,0,3.95,3.95,275.96
Calendar,2013,13438,105513.5,0,3752,109265.5,21164.78,0,9013.06,30177.84,139443.34
Fiscal,2013,45869,110709.51,0,3185.16,113894.67,20170.77,12924.88,11375.49,44471.14,158365.81
Fiscal,2016,31637,2541.6,0,0,2541.6,460.79,448.93,197.28,1107,3648.6
Calendar,2013,9543,700,0,0,700,0,0,55.3,55.3,755.3
